"pid","mask_mean_score","mask_group"
3621,3,"H"
8189,2.66666666666667,"L"
8460,3,"H"
14553,2.66666666666667,"L"
22372,4,"H"
27038,3.66666666666667,"H"
27286,3,"H"
31619,1.66666666666667,"L"
34733,1.5,"L"
41502,3,"H"
46859,1.33333333333333,"L"
47314,3,"H"
51611,2.83333333333333,"L"
63674,4,"H"
64352,3,"H"
64951,3.66666666666667,"H"
72644,2.66666666666667,"L"
98812,3.33333333333333,"H"
